-181.216, 69.859, 2.347,  5.428
-181.217, 69.778, 2.419,  5.461
-181.218, 69.694, 2.519,  5.494
-181.219, 69.606, 2.636,  5.527
-181.219, 69.514, 2.758,  5.560
-181.220, 69.418, 2.865,  5.593
-181.220, 69.320, 2.934,  5.626
-181.220, 69.221, 2.958,  5.659
-181.220, 69.123, 2.952,  5.692
-181.220, 69.025, 2.923,  5.725
-181.220, 68.929, 2.877,  5.758
-181.221, 68.835, 2.820,  5.791
-181.222, 68.744, 2.750,  5.824
-181.225, 68.655, 2.679,  5.857
-181.226, 68.568, 2.588,  5.890
-181.228, 68.485, 2.514,  5.923
-181.230, 68.403, 2.467,  5.956
-181.232, 68.321, 2.453,  5.989
-181.233, 68.239, 2.469,  6.022
-181.235, 68.156, 2.513,  6.055
-181.236, 68.070, 2.581,  6.088
-181.238, 67.981, 2.673,  6.121
-181.239, 67.888, 2.782,  6.154
-181.241, 67.791, 2.899,  6.187
-181.244, 67.691, 2.998,  6.220
-181.247, 67.589, 3.064,  6.253
-181.249, 67.486, 3.087,  6.286
-181.252, 67.383, 3.077,  6.319
-181.254, 67.282, 3.045,  6.352
-181.257, 67.182, 2.996,  6.385
-181.259, 67.084, 2.935,  6.418
-181.261, 66.989, 2.865,  6.451
-181.262, 66.896, 2.790,  6.484
-181.264, 66.806, 2.696,  6.517
-181.267, 66.719, 2.618,  6.550
-181.271, 66.634, 2.567,  6.583
-181.274, 66.549, 2.551,  6.616
-181.276, 66.464, 2.569,  6.649
-181.279, 66.377, 2.617,  6.682
-181.282, 66.287, 2.693,  6.715
-181.284, 66.194, 2.791,  6.748
-181.286, 66.097, 2.904,  6.781
-181.289, 65.996, 3.029,  6.814
-181.291, 65.891, 3.158,  6.847
-181.294, 65.782, 3.271,  6.880
-181.296, 65.670, 3.346,  6.913
-181.299, 65.558, 3.376,  6.946
-181.302, 65.445, 3.369,  6.979
-181.305, 65.334, 3.336,  7.012
-181.307, 65.225, 3.285,  7.045
-181.309, 65.118, 3.220,  7.078
-181.312, 65.013, 3.145,  7.111
-181.314, 64.911, 3.064,  7.144
-181.316, 64.812, 2.978,  7.177
-181.318, 64.717, 2.876,  7.210
-181.320, 64.624, 2.791,  7.243
-181.323, 64.533, 2.732,  7.276
-181.325, 64.443, 2.708,  7.309
-181.327, 64.352, 2.719,  7.342
-181.329, 64.260, 2.764,  7.375
-181.331, 64.166, 2.838,  7.408
-181.333, 64.068, 2.934,  7.441
-181.335, 63.967, 3.045,  7.474
-181.337, 63.861, 3.169,  7.507
-181.339, 63.751, 3.296,  7.540
-181.341, 63.638, 3.408,  7.573
